,x,y,z
101,0.3677912386610098,2.9104500988593807,4.280004032409924
102,0.3499290262503178,2.92026356800241,4.240004342595303
103,0.3320668138396258,2.929832037145439,4.200004652780682
104,0.31420460142893375,2.939155506288468,4.1600049629660605
105,0.2963423890182417,2.948233975431497,4.120005273151439
106,0.2784801766075497,2.957067444574526,4.080005583336818
107,0.2606179641968577,2.9656559137175553,4.0400058935221965
108,0.24275575178616565,2.9739993828605846,4.000006203707575
109,0.22489353937547363,2.982097852003614,3.960006513892954
110,0.2070313269647816,2.989951321146643,3.9200068240783326
111,0.18916911455408958,2.9975597902896722,3.8800071342637112
112,0.17130690214339755,3.0049232594327013,3.84000744444909
113,0.15344468973270553,3.0120417285757304,3.8000077546344686
114,0.1355824773220135,3.0189151977187594,3.7600080648198473
